CBSA,CITY,STATE,CITYSTATE,NETMIG2020,NETMIG2021,TOTALNETMIG,2020rank,2020census,2010census,Change,2020 land area,2020 population density,Location,Unemployment Rate (August 2021),Change in Unemployment (August 2021 vs August 2019),Change in Unemployment (August 2021 vs January 2020),Change in Unemployment (August 2021 vs August 2020),Adjusted Unemployment Rate* (August 2021),Effective Real-Estate Tax Rate,Annual Taxes on $217.5K Home*,State Median Home Value,Annual Taxes on Home Priced at State Median Value,ZHVI,ZORI,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
15260,Brunswick,GA,"Brunswick, GA",122,923,1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92%,"$2,006","$176,000","$1,623",254279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31020,Longview,WA,"Longview, WA",246,792,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98%,"$2,134","$339,000","$3,326",395658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43420,Sierra Vista,AZ,"Sierra Vista, AZ",84,932,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66%,"$1,446","$225,500","$1,499",217875,1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34740,Muskegon,MI,"Muskegon, MI",29,980,1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54%,"$3,343","$154,900","$2,381",205258,NA,243,169,-14,-93,46.153846,46.15384615384615,46.15384615384615,46.5,-0.1696428571428571,-9.5,0.06896551724137923,3,-0.5,0.14883236173553915,-0.09459626227445196,0.9751,219400,0.09754877438719368,0.09699999999999998,0.5591,0
12100,Atlantic City,NJ,"Atlantic City, NJ",-190,1184,994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49%,"$5,419","$335,600","$8,362",287688,NA,176,280,0,-1,17.22408,12.709030100334449,21.73913043478261,71,-0.08974358974358976,-7,-0.11801242236024843,-9.5,24,0.10216478676107864,0.1323965798988842,0.6954,296450,-0.00852842809364551,0.1884145119262377,0.7554,0
44420,Staunton,VA,"Staunton, VA",283,704,987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82%,"$1,779","$273,100","$2,234",247687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26300,Hot Springs,AR,"Hot Springs, AR",178,791,969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62%,"$1,358","$127,800",$798,216626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27180,Jackson,TN,"Jackson, TN",100,851,951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71%,"$1,548","$167,200","$1,190",170775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33780,Monroe,MI,"Monroe, MI",88,846,934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54%,"$3,343","$154,900","$2,381",222122,NA,282,105,-81,-18,59.866221,33.77926421404682,85.95317725752508,52.5,0.11702127659574456,5.5,-0.1796875,-11.5,5.5,0.1850391245612355,-0.14098584178300855,1.4874,251000,0.07264957264957261,0.00420084016803357,0.6396,0
35980,Norwich,CT,"Norwich, CT",-209,1129,920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14%,"$4,658","$275,400","$5,898",NA,NA,172,116,-4,-10,57.023411,28.762541806020064,85.28428093645485,57,-0.12307692307692308,-8,0.09615384615384626,5,10,0.03889701093015385,0.3194779584574725,1.4677,369900,0.05685714285714294,0.18386941910705712,0.9425,0
